,2017,2016
,(Dollars in thousands)
Deferred tax assets:,,
Tax loss and credit carryforwards,"$210,055","$136,046"
Pension,"28,147","46,563"
Reserves and accruals,"62,378","52,343"
Other,"3,619","17,704"
Less: valuation allowances,"-104,799","-104,520"
Total deferred tax assets,"199,400","148,136"
Deferred tax liabilities:,,
"Property, plant and equipment","22,299","32,209"
Intangibles — stock acquisitions,"553,245","321,707"
Unremitted foreign earnings,"223,494","63,419"
Other,228,466
Total deferred tax liabilities,"799,266","417,801"
Net deferred tax liability,"$-599,866","$-269,665"
