In millions of dollars,2009,2008,2007,% Change 2009 vs. 2008,% Change 2008 vs. 2007
Net interest revenue,"$5,651","$5,485","$4,254",3%,29%
Non-interest revenue,"4,138","4,461","3,844",-7,16
"Total revenues, net of interest expense","$9,789","$9,946","$8,098",-2%,23%
Total operating expenses,"4,515","5,156","4,634",-12,11
Provisions for credit losses and for benefits and claims,7,35,-30,-80,NM
Income before taxes and noncontrolling interests,"$5,267","$4,755","$3,494",11%,36%
Income taxes,"1,531","1,402","1,038",9,35
Income from continuing operations,"3,736","3,353","2,456",11,37
Net income attributable to noncontrolling interests,13,31,20,-58,55
Net income,"$3,723","$3,322","$2,436",12%,36%
Average assets(in billions of dollars),$60,$71,$69,-15%,3%
Return on assets,6.21%,4.68%,3.53%,,
Revenues by region,,,,,
North America,"$2,526","$2,161","$1,646",17%,31%
EMEA,"3,389","3,677","2,999",-8,23
Latin America,"1,373","1,439","1,199",-5,20
Asia,"2,501","2,669","2,254",-6,18
Total revenues,"$9,789","$9,946","$8,098",-2%,23%
Income from continuing operations by region,,,,,
North America,$615,$323,$209,90%,55%
EMEA,"1,287","1,246",816,3,53
Latin America,604,588,463,3,27
Asia,"1,230","1,196",968,3,24
Total net income from continuing operations,"$3,736","$3,353","$2,456",11%,37%
Key indicators(in billions of dollars),,,,,
Average deposits and other customer liability balances,$303,$280,$246,8%,14%
EOP assets under custody(in trillions of dollars),12.1,11.0,13.1,10,-16
