,As of December
$ in millions,2018,2017
Deposits,"$158,257",25%,"$138,604",23%
Collateralized financings:,,,,
Repurchase agreements,"78,723",13%,"84,718",14%
Securities loaned,"11,808",2%,"14,793",2%
Other secured financings,"21,433",3%,"24,788",4%
Total collateralized financings,"111,964",18%,"124,299",20%
Unsecured short-term borrowings,"40,502",7%,"46,922",8%
Unsecured long-term borrowings,"224,149",36%,"217,687",36%
Total shareholders’ equity,"90,185",14%,"82,243",13%
Total funding sources,"$625,057",100%,"$609,755",100%
