,Home Equity,Automobile
(Dollars in millions),2009,2008,2009,2008
For the Year Ended December 31,,,,,,
Cash proceeds from new securitizations,$,–,$–,$,–,$741
Losses on securitizations-1,,–,–,,–,-31
Collections reinvested in revolving period securitizations,,177,235,,–,–
Repurchases of loans from trust-2,,268,128,,298,184
Cash flows received on residual interests,,35,27,,52,–
At December 31,,,,,,
Principal balance outstanding,,"46,282","34,169",,"2,656","5,385"
"Senior securities held-3, 4",,15,–,,"2,119","4,102"
Subordinated securities held-5,,48,3,,195,383
Residual interests held-6,,100,93,,83,84
