,"Years Ended December 31,",,
,2009,2008,Change
,"(in millions, except percentages)"
Revenues,,,,
Management and financial advice fees,"$1,234","$1,339",$-105,-8%
Distribution fees,"1,733","1,912",-179,-9
Net investment income,297,-43,340,NM
Other revenues,85,80,5,6
Total revenues,"3,349","3,288",61,2
Banking and deposit interest expense,133,178,-45,-25
Total net revenues,"3,216","3,110",106,3
Expenses,,,,
Distribution expenses,"1,968","2,121",-153,-7
General and administrative expense,"1,282","1,138",144,13
Total expenses,"3,250","3,259",-9,—
Pretax loss,$-34,$-149,$115,77%
