,"Year Ended December 31, 2007"
,Financial Services Businesses,Closed Block Business,Combined
,Yield-1,Amount,Yield-1,Amount,Yield-1,Amount
,($ in millions)
Fixed maturities,5.10%,"$5,700",6.59%,"$3,047",5.53%,"$8,747"
Trading account assets supporting insurance liabilities,5.12,716,—,—,5.12,716
Equity securities,4.95,198,2.91,93,4.04,291
Commercial loans,6.17,"1,081",7.00,504,6.41,"1,585"
Policy loans,5.23,188,6.35,333,5.90,521
Short-term investments and cash equivalents,4.58,378,9.83,183,5.05,561
Other investments,4.80,136,17.83,176,8.19,312
Gross investment income before investment expenses,5.20,"8,397",6.64,"4,336",5.60,"12,733"
Investment expenses,-0.14,-521,-0.23,-547,-0.17,"-1,068"
Investment income after investment expenses,5.06%,"7,876",6.41%,"3,789",5.43%,"11,665"
Investment results of other entities and operations-2,,352,,—,,352
Total investment income,,"$8,228",,"$3,789",,"$12,017"
