"Years Ended December 31,",,,,Percentage Change
(in millions),2015,2014,2013,2015 vs. 2014,2014 vs. 2013
Revenues:,,,,,
Premiums,$168,$287,$188,-41%,53%
Policy fees,"1,072","1,010",861,6,17
Net investment income,"6,002","6,489","6,628",-8,-2
Advisory fee and other income,"2,056","1,998","1,754",3,14
Benefits and expenses:,,,,,
Policyholder benefits and losses incurred,511,537,364,-5,48
Interest credited to policyholder account balances,"2,823","2,846","2,935",-1,-3
Amortization of deferred policy acquisition costs,480,346,273,39,27
Non deferrable insurance commissions,282,265,249,6,6
Advisory fee expenses,"1,349","1,315","1,175",3,12
General operating expenses,"1,014",980,945,3,4
Pre-tax operating income,"$2,839","$3,495","$3,490",-19%,-%
