,"December 31, 2008"
,Aaa,Aa,A,Baa,Below Investment Grade,Total
,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,
,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair
,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value
,(In millions)
2003 & Prior,$96,$77,$92,$72,$26,$16,$83,$53,$8,$4,$305,$222
2004,129,70,372,204,5,3,37,28,2,1,545,306
2005,357,227,186,114,20,11,79,46,4,4,646,402
2006,146,106,69,30,15,10,26,7,2,2,258,155
2007,—,—,78,33,35,21,2,2,3,1,118,57
2008,—,—,—,—,—,—,—,—,—,—,—,—
Total,$728,$480,$797,$453,$101,$61,$227,$136,$19,$12,"$1,872","$1,142"
