In millions of dollars,2010,2009,2008,% Change 2010 vs. 2009,% Change 2009 vs. 2008
Net interest revenue,"$14,773","$16,139","$21,092",-8%,-23%
Non-interest revenue,"4,514","12,989","-29,330",-65,NM
"Total revenues, net of interest expense","$19,287","$29,128","$-8,238",-34%,NM
Provisions for credit losses and for benefits and claims,,,,,
Net credit losses,"$19,070","$24,585","$14,026",-22%,75%
Credit reserve build (release),"-3,500","5,305","11,258",NM,-53
Provision for loan losses,"$15,570","$29,890","$25,284",-48%,18%
Provision for benefits and claims,813,"1,094","1,228",-26,-11
Provision (release) for unfunded lending commitments,-82,106,-172,NM,NM
Total provisions for credit losses and for benefits and claims,"$16,301","$31,090","$26,340",-48%,18%
Total operating expenses,"$9,563","$13,764","$24,104",-31,-43%
Loss from continuing operations before taxes,"$-6,577","$-15,726","$-58,682",58%,73%
Benefits for income taxes,"-2,554","-6,878","-22,185",63,69
(Loss) from continuing operations,"$-4,023","$-8,848","$-36,497",55%,76%
Net income (loss) attributable to noncontrolling interests,207,29,-372,NM,NM
Citi Holdings net loss,"$-4,230","$-8,877","$-36,125",52%,75%
Balance sheet data(in billions of dollars),,,,,
Total EOP assets,$359,$487,$650,-26%,-25%
Total EOP deposits,$79,$89,$81,-11%,10%
