Table 44,Commercial Real Estate Net Charge-offs and Related Ratios
,Net Charge-offs,Net Charge-off Ratios-1
(Dollars in millions),2011,2010,2011,2010
Non-homebuilder,,,,
Office,$126,$273,1.51%,2.49%
Multi-family rental,36,116,0.52,1.21
Shopping centers/retail,184,318,2.69,3.56
Industrial/warehouse,88,59,1.94,1.07
Multi-use,61,143,1.63,2.92
Hotels/motels,23,45,0.86,1.02
Land and land development,152,377,7.58,13.04
Other,19,220,0.33,3.14
Total non-homebuilder,689,"1,551",1.67,2.86
Homebuilder,258,466,8.00,8.26
Total commercial real estate,$947,"$2,017",2.13,3.37
