Table 43,Commercial Real Estate Credit Quality Data December 31
,Nonperforming Loans andForeclosed Properties-1,Utilized ReservableCriticized Exposure-2
(Dollars in millions),2011,2010,2011,2010
Non-homebuilder,,,,
Office,$807,"$1,061","$2,375","$3,956"
Multi-family rental,339,500,"1,604","2,940"
Shopping centers/retail,561,"1,000","1,378","2,837"
Industrial/warehouse,521,420,"1,317","1,878"
Multi-use,345,483,971,"1,316"
Hotels/motels,173,139,716,"1,191"
Land and land development,530,820,749,"1,420"
Other,223,168,997,"1,604"
Total non-homebuilder,"3,499","4,591","10,107","17,142"
Homebuilder,993,"1,963","1,418","3,376"
Total commercial real estate,"$4,492","$6,554","$11,525","$20,518"
