,"Outstanding Balance December 31,","Stated Interest Rate December 31,"
,2009,2008,2009,2008
,(in millions)
Senior notes due 2010,$340,$800,5.4%,5.4%
Senior notes due 2015,700,700,5.7,5.7
Senior notes due 2019,300,—,7.3,—
Senior notes due 2039,200,—,7.8,—
Junior subordinated notes due 2066,322,457,7.5,7.5
Floating rate revolving credit borrowings due 2013,142,64,4.1,3.6
Floating rate revolving credit borrowings due 2014,198,—,5.9,—
Floating rate revolving credit borrowings due 2014,41,—,2.5,—
Municipal bond inverse floater certificates due 2021,6,6,0.3,2.2
Total,"$2,249","$2,027",,
