row_index,c0,c1,c2,c3,c4,c5,c6
1,(Dollars in millions),2009,2008,2009,2008,,
2,For the Year Ended December 31,,,,,,
3,Cash proceeds from new securitizations,$,–,$–,$,–,$741
4,Losses on securitizations-1,,–,–,,–,-31
5,Collections reinvested in revolving period securitizations,,177,235,,–,–
6,Repurchases of loans from trust-2,,268,128,,298,184
7,Cash flows received on residual interests,,35,27,,52,–
8,At December 31,,,,,,
9,Principal balance outstanding,,"46,282","34,169",,"2,656","5,385"
10,"Senior securities held-3, 4",,15,–,,"2,119","4,102"
11,Subordinated securities held-5,,48,3,,195,383
12,Residual interests held-6,,100,93,,83,84
