row_index,c0,c1,c2,c3,c4,c5
1,2007,,,,,
2,Group retirement products,$446,"$2,280",$-451,"2,275",$696
3,Individual fixed annuities,96,"3,664",-829,"2,931",530
4,Individual variable annuities,627,166,-45,748,122
5,Individual annuities — runoff*,21,387,-83,325,-1
6,Total,"$1,190","$6,497","$-1,408","$6,279","$1,347"
7,2006,,,,,
8,Group retirement products,$386,"$2,279",$-144,"$2,521","$1,017"
9,Individual fixed annuities,122,"3,581",-257,"3,446","1,036"
10,Individual variable annuities,531,202,5,738,193
11,Individual annuities — runoff*,18,426,-8,436,77
12,Total,"$1,057","$6,488",$-404,"$7,141","$2,323"
13,2005,,,,,
14,Group retirement products,$351,"$2,233",$-67,"$2,517","$1,055"
15,Individual fixed annuities,97,"3,346",-214,"3,229",858
16,Individual variable annuities,467,217,4,688,189
17,Individual annuities — runoff*,22,430,—,452,62
18,Total,$937,"$6,226",$-277,"$6,886","$2,164"
19,Percentage Increase/(Decrease) 2007 vs. 2006:,,,,,
20,Group retirement products,16%,—%,—%,-10%,-32%
21,Individual fixed annuities,-21,2,—,-15,-49
22,Individual variable annuities,18,-18,—,1,-37
23,Individual annuities — runoff,17,-9,—,-25,—
24,Total,13%,—%,—%,-12%,-42%
25,Percentage Increase/(Decrease) 2006 vs. 2005:,,,,,
26,Group retirement products,10%,2%,—%,—%,-4%
27,Individual fixed annuities,26,7,—,7,21
28,Individual variable annuities,14,-7,25,7,2
29,Individual annuities — runoff,-18,-1,—,-4,24
30,Total,13%,4%,—%,4%,7%
