row_index,c0,c1,c2
1,Net interest income-1,,
2,As reported-2,"$52,693","$48,410"
3,Impact of market-based net interest income-3,"-4,430","-6,117"
4,Core net interest income,"48,263","42,293"
5,Impact of securitizations-4,n/a,"10,524"
6,Core net interest income,"48,263","52,817"
7,Average earning assets,,
8,As reported,"1,897,573","1,830,193"
9,Impact of market-based earning assets-3,"-504,360","-481,376"
10,Core average earning assets,"1,393,213","1,348,817"
11,Impact of securitizations-5,n/a,"83,640"
12,Core average earning assets,"1,393,213","1,432,457"
13,Net interest yield contribution-1,,
14,As reported-2,2.78%,2.65%
15,Impact of market-based activities-3,0.68,0.49
16,Core net interest yield on earning assets,3.46,3.14
17,Impact of securitizations,n/a,0.55
18,Core net interest yield on earning assets,3.46%,3.69%
