row_index,c0,c1,c2,c3,c4,c5
1,Allowance for loan and lease losses – January 1,"$2,611","$2,589","$2,727","$3,331","$3,609"
2,Gross charge-offs,,,,,
3,Commercial,-108,-186,-332,-206,-276
4,Commercial real estate,-8,-24,-26,-44,-70
5,Equipment lease financing,-8,-11,-5,-5,-14
6,Home equity,-110,-123,-143,-181,-275
7,Residential real estate,-6,-9,-14,-24,-40
8,Credit card,-217,-182,-161,-160,-163
9,Other consumer (a),-307,-251,-205,-185,-183
10,Total gross charge-offs,-764,-786,-886,-805,"-1,021"
11,Recoveries,,,,,
12,Commercial,67,81,117,170,207
13,Commercial real estate,24,28,51,66,84
14,Equipment lease financing,8,7,10,4,14
15,Home equity,98,91,84,93,78
16,Residential real estate,21,18,9,13,26
17,Credit card,24,21,19,21,21
18,Other consumer (a),102,83,53,52,60
19,Total recoveries,344,329,343,419,490
20,Net (charge-offs),-420,-457,-543,-386,-531
21,Provision for credit losses,408,441,433,255,273
22,Net decrease / (increase) in allowance for unfunded loan commitments andletters of credit,12,4,-40,-2,-17
23,Other (b),18,34,12,-471,-3
24,Allowance for loan and lease losses – December 31,"$2,629","$2,611","$2,589","$2,727","$3,331"
25,Allowance as a percentage of December 31:,,,,,
26,Loans (b),1.16%,1.18%,1.23%,1.32%,1.63%
27,Nonperforming loans,155%,140%,121%,128%,133%
28,As a percentage of average loans:,,,,,
29,Net charge-offs,.19%,.21%,.26%,.19%,.27%
30,Provision for credit losses,.18%,.20%,.21%,.12%,.14%
31,Allowance for loan and lease losses (b),1.18%,1.20%,1.24%,1.33%,1.67%
32,Allowance as a multiple of net charge-offs,6.26x,5.71x,4.77x,7.06x,6.27x
