row_index,c0,c1,c2
1,(Dollars in millions),2010,2009
2,Trading account assets,,
3,U.S. government and agency securities-1,"$60,811","$44,585"
4,"Corporate securities, trading loans and other","49,352","57,009"
5,Equity securities,"32,129","33,562"
6,Non-U.S.sovereign debt,"33,523","28,143"
7,Mortgage trading loans and asset-backed securities,"18,856","18,907"
8,Total trading account assets,"$194,671","$182,206"
9,Trading account liabilities,,
10,U.S. government and agency securities,"$29,340","$26,519"
11,Equity securities,"15,482","18,407"
12,Non-U.S.sovereign debt,"15,813","12,897"
13,Corporate securities and other,"11,350","7,609"
14,Total trading account liabilities,"$71,985","$65,432"
