row_index,c0,c1,c2,c3,c4
1,,Yield-1,Amount,Yield-1,Amount
2,,($ in millions),,,
3,Fixed maturities,2.88%,"$1,519",2.95%,"$1,314"
4,Trading account assets supporting insurance liabilities,1.97,22,2.10,23
5,Equity securities,3.13,58,2.91,73
6,Commercial mortgage and other loans,4.86,167,4.76,144
7,Policy loans,3.91,63,3.92,50
8,Short-term investments and cash equivalents,0.62,11,2.26,21
9,Other investments,6.27,129,8.77,139
10,Gross investment income before investment expenses,3.05,"1,969",3.21,"1,764"
11,Investment expenses,-0.16,-108,-0.19,-107
12,Total investment income,2.89%,"$1,861",3.02%,"$1,657"
