row_index,c0,c1,c2,c3
1,$ in millions,2018,2017,2016
2,Compensation and benefits,"$12,328","$11,653","$11,448"
3,"Brokerage, clearing, exchange and distribution fees","3,200","2,876","2,823"
4,Market development,740,588,457
5,Communications and technology,"1,023",897,809
6,Depreciation and amortization,"1,328","1,152",998
7,Occupancy,809,733,788
8,Professional fees,"1,214","1,165","1,081"
9,Other expenses,"2,819","1,877","1,900"
10,Total operating expenses,"$23,461","$20,941","$20,304"
11,Headcount atperiod-end,"36,600","33,600","32,400"
