row_index,c0,c1,c2,c3,c4,c5,c6
1,,2017,2018,2019,,,
2,"December 31, 2016",Contract amount,Average contractual exchange rate,Contract amount,Average contractual exchange rate,Contract amount,Average contractual exchange rate
3,,(millions),,(millions),,(millions),
4,Foreign currency sold,,,,,,
5,U.S. dollars sold for Pounds sterling,$390,$1.51 = £1,$268,$1.46 = £1,$77,$1.39 = £1
6,Euro sold for U.S. dollars,74,€1 = $1.20,48,€1 = $1.19,14,€1 = $1.17
7,Japanese yen sold for U.S. dollars,21,¥110.85 = $1,13,¥110.90 - $1,5,¥98.63 = $1
8,Euro sold for Pounds sterling,22,€1 = £1.21,9,1 = £1.33,4,€1 = £1.24
9,Total,$507,,$338,,$100,
10,Fair value(i),$-65,,$-40,,$-5,
