row_index,c0,c1,c2,c3,c4,c5
1,Airbus A319,128,12.8,19,106,125
2,Airbus A320,150,15.5,10,41,51
3,Airbus A321,178,4.9,153,46,199
4,AirbusA330-200,258,5.0,15,—,15
5,AirbusA330-300,291,16.4,4,5,9
6,Boeing737-800,160,7.7,123,161,284
7,Boeing757-200,179,17.9,39,12,51
8,Boeing767-300ER,211,19.5,28,3,31
9,Boeing777-200ER,263,16.0,44,3,47
10,Boeing777-300ER,310,2.8,18,2,20
11,Boeing787-8,226,1.3,17,—,17
12,Boeing787-9,285,0.2,4,—,4
13,Embraer 190,99,9.2,20,—,20
14,McDonnell DouglasMD-80,140,22.0,25,32,57
15,Total,,10.3,519,411,930
