row_index,c0,c1,c2,c3,c4
1,$ in millions,2018,2017,,
2,Deposits,"$158,257",25%,"$138,604",23%
3,Collateralized financings:,,,,
4,Repurchase agreements,"78,723",13%,"84,718",14%
5,Securities loaned,"11,808",2%,"14,793",2%
6,Other secured financings,"21,433",3%,"24,788",4%
7,Total collateralized financings,"111,964",18%,"124,299",20%
8,Unsecured short-term borrowings,"40,502",7%,"46,922",8%
9,Unsecured long-term borrowings,"224,149",36%,"217,687",36%
10,Total shareholders’ equity,"90,185",14%,"82,243",13%
11,Total funding sources,"$625,057",100%,"$609,755",100%
