row_index,c0,c1,c2,c3,c4
1,"Year ended December 31, 2010",,,,
2,Total operating revenues,"3,532.7",0.3,-45.3,"3,487.7"
3,Total operating expenses,"2,887.8",55.3,-45.3,"2,897.8"
4,Operating income,644.9,-55.0,—,589.9
5,Equity in earnings of unconsolidated affiliates,40.8,—,-0.6,40.2
6,Interest and dividend income,10.4,246.0,-5.1,251.3
7,Other investment income/(losses),15.6,107.6,6.4,129.6
8,Interest expense,-58.6,-123.7,5.1,-177.2
9,Income before income taxes,653.1,174.9,5.8,833.8
10,Income tax provision,-197.0,—,—,-197.0
11,Net income,456.1,174.9,5.8,636.8
12,"(Gains)/losses attributable to noncontrolling interests in consolidated entities, net",-0.2,-170.8,-0.1,-171.1
13,Net income attributable to common shareholders,455.9,4.1,5.7,465.7
