row_index,c0,c1,c2
1,Citicorp,,
2,Citi-administered asset-backed commercial paper conduits (ABCP),"$20,486","$1,718"
3,Third-party commercial paper conduits,353,—
4,Asset-based financing,—,549
5,Municipal securities tender option bond trusts (TOBs),"6,304",—
6,Municipal investments,—,18
7,Other,10,23
8,Total Citicorp,"$27,153","$2,308"
9,Citi Holdings,,
10,Citi-administered asset-backed commercial paper conduits (ABCP),"$11,978","$1,682"
11,Third-party commercial paper conduits,252,—
12,Collateralized loan obligations (CLOs),—,19
13,Asset-based financing,—,"1,311"
14,Municipal investments,—,386
15,Investment Funds,—,93
16,Other,—,257
17,Total CitiHoldings,"$12,230","$3,748"
18,Total Citigroup funding commitments,"$39,383","$6,056"
