row_index,c0,c1,c2,c3,c4
1,,2009,2008,Change,
2,,"(in millions, except percentages)",,,
3,Revenues,,,,
4,Management and financial advice fees,"$1,234","$1,339",$-105,-8%
5,Distribution fees,"1,733","1,912",-179,-9
6,Net investment income,297,-43,340,NM
7,Other revenues,85,80,5,6
8,Total revenues,"3,349","3,288",61,2
9,Banking and deposit interest expense,133,178,-45,-25
10,Total net revenues,"3,216","3,110",106,3
11,Expenses,,,,
12,Distribution expenses,"1,968","2,121",-153,-7
13,General and administrative expense,"1,282","1,138",144,13
14,Total expenses,"3,250","3,259",-9,—
15,Pretax loss,$-34,$-149,$115,77%
