row_index,c0,c1,c2,c3,c4,c5,c6
1,,2015,2014,,,,
2,(dollars in millions),Net Sales,Percentageof Total Net Sales,Net Sales,Percentageof Total Net Sales,DollarChange,PercentChange-1
3,Corporate:,,,,,,
4,Medium/Large,"$5,758.2",44.3%,"$5,485.4",45.4%,$272.8,5.0%
5,Small Business,"1,058.2",8.2,990.1,8.2,68.1,6.9
6,Total Corporate,"6,816.4",52.5,"6,475.5",53.6,340.9,5.3
7,Public:,,,,,,
8,Government,"1,675.9",12.9,"1,449.4",12.0,226.5,15.6
9,Education,"1,807.0",13.9,"1,824.0",15.1,-17.0,-0.9
10,Healthcare,"1,642.6",12.6,"1,606.0",13.3,36.6,2.3
11,Total Public,"5,125.5",39.4,"4,879.4",40.4,246.1,5.0
12,Other,"1,046.8",8.1,719.6,6.0,327.2,45.5
13,Total Net sales,"$12,988.7",100.0%,"$12,074.5",100.0%,$914.2,7.6%
