row_index,c0,c1,c2,c3,c4,c5
1,Net interest revenue,"$14,773","$16,139","$21,092",-8%,-23%
2,Non-interest revenue,"4,514","12,989","-29,330",-65,NM
3,"Total revenues, net of interest expense","$19,287","$29,128","$-8,238",-34%,NM
4,Provisions for credit losses and for benefits and claims,,,,,
5,Net credit losses,"$19,070","$24,585","$14,026",-22%,75%
6,Credit reserve build (release),"-3,500","5,305","11,258",NM,-53
7,Provision for loan losses,"$15,570","$29,890","$25,284",-48%,18%
8,Provision for benefits and claims,813,"1,094","1,228",-26,-11
9,Provision (release) for unfunded lending commitments,-82,106,-172,NM,NM
10,Total provisions for credit losses and for benefits and claims,"$16,301","$31,090","$26,340",-48%,18%
11,Total operating expenses,"$9,563","$13,764","$24,104",-31,-43%
12,Loss from continuing operations before taxes,"$-6,577","$-15,726","$-58,682",58%,73%
13,Benefits for income taxes,"-2,554","-6,878","-22,185",63,69
14,(Loss) from continuing operations,"$-4,023","$-8,848","$-36,497",55%,76%
15,Net income (loss) attributable to noncontrolling interests,207,29,-372,NM,NM
16,Citi Holdings net loss,"$-4,230","$-8,877","$-36,125",52%,75%
17,Balance sheet data(in billions of dollars),,,,,
18,Total EOP assets,$359,$487,$650,-26%,-25%
19,Total EOP deposits,$79,$89,$81,-11%,10%
