row_index,c0,c1,c2,c3,c4
1,,2010,2009,2010,2009
2,,(in millions),,,
3,RiverSource Life-1(2),"$3,813","$3,450",$652,$803
4,RiverSource Life of NY-1(2),291,286,38,44
5,IDS Property Casualty-1(3),411,405,141,133
6,Ameriprise Insurance Company-1(3),44,46,2,2
7,ACC-4(5),184,293,173,231
8,Threadneedle-6,182,201,104,155
9,"Ameriprise Bank, FSB-7",302,255,294,231
10,AFSI-3(4),119,79,1,1
11,Ameriprise Captive Insurance Company-3,38,28,12,12
12,Ameriprise Trust Company-3,41,36,40,32
13,AEIS-3(4),115,133,35,29
14,"Securities America, Inc.-3(4)",2,15,#,#
15,"RiverSource Distributors, Inc.-3(4)",24,41,#,#
16,"Columbia Management Investment Distributors, Inc.-3(4)",27,13,#,#
