row_index,c0,c1,c2,c3
1,Allowance for loan losses at beginning of year,"$29,616","$16,117","$8,940"
2,Gross credit losses,"-32,784","-20,760","-11,864"
3,Gross recoveries,"2,043","1,749","1,938"
4,Net credit (losses) recoveries (NCLs),"$-30,741","$-19,011","$-9,926"
5,NCLs,"$30,741","$19,011","$9,926"
6,Net reserve builds (releases),"5,741","11,297","6,550"
7,Net specific reserve builds (releases),"2,278","3,366",356
8,Total provision for credit losses,"$38,760","$33,674","$16,832"
9,"Other, net-2","-1,602","-1,164",271
10,Allowance for loan losses at end of year,"$36,033","$29,616","$16,117"
11,Allowance for credit losses on unfunded lending commitments at beginning of year-3,$887,"$1,250","$1,100"
12,Provision for unfunded lending commitments,244,-363,150
13,Allowance for credit losses on unfunded lending commitments at end of year-3,"$1,157",$887,"$1,250"
14,"Total allowance for loans, leases, and unfunded lending commitments","$37,190","$30,503","$17,367"
