row_index,c0,c1,c2,c3,c4
1,($ in millions),Total,Level 1,Level 2,Level 3
2,Plan assets subject to leveling,,,,
3,U.S. and international equities,"$1,270","$1,270",$—,$—
4,Government and agency debt securities,409,—,409,—
5,Corporate and other debt securities,"1,287",—,"1,287",—
6,Group annuity contract,3,—,3,—
7,"Cash and cash equivalents, net",—,—,—,—
8,Net plan assets subject to leveling,"$2,969","$1,270","$1,699",$—
9,Plan assets not subject to leveling,,,,
10,U.S. and international equities (a),"2,012",,,
11,Corporate and other debt securities,165,,,
12,Real estate investments,279,,,
13,Private partnerships,16,,,
14,Hedge funds,281,,,
15,"Cash and cash equivalents, net (b)",115,,,
16,Total plan assets not subject to leveling,"2,868",,,
17,Net plan assets,"$5,837",,,
