row_index,c0,c1,c2,c3,c4,c5,c6,c7
1,,2016,2015,2014,2016 v. 2015,2015 v. 2014,,
2,,"(in millions, except as noted)",,,,,,
3,Net sales,$981,"$1,523","$1,576",$-542,-36%,$-53,-3%
4,Cost of sales,715,884,983,-169,-19%,-99,-10%
5,Gross margin,$266,$639,$593,$-373,-58%,$46,8%
6,Gross margin percentage,27.1%,42.0%,37.6%,-14.9%,,4.4%,
7,Sales volume by product tons (000s),"2,874","2,995","2,969",-121,-4%,26,1%
8,Sales volume by nutrient tons (000s)(1),"2,358","2,456","2,434",-98,-4%,22,1%
9,Average selling price per product ton,$341,$509,$531,$-168,-33%,$-22,-4%
10,Average selling price per nutrient ton-1,$416,$620,$648,$-204,-33%,$-28,-4%
11,Gross margin per product ton,$93,$213,$200,$-120,-56%,$13,7%
12,Gross margin per nutrient ton-1,$113,$260,$244,$-147,-57%,$16,7%
13,Depreciation and amortization,$96,$95,$69,$1,1%,$26,38%
14,Unrealized net mark-to-market loss (gain) on natural gas derivatives,$-85,$40,$25,$-125,N/M,$15,60%
