row_index,c0,c1,c2,c3,c4,c5
1,(in millions),2015,2014,2013,2012,2011
2,Net income,$403.1,$244.9,$132.8,$119.0,$17.1
3,Amortization of intangibles(a),173.9,161.2,161.2,163.7,165.7
4,Non-cash equity-based compensation,31.2,16.4,8.6,22.1,19.5
5,Non-cash equity-based compensation related to equity investment(b),20.0,—,—,—,—
6,Net loss on extinguishments of long-term debt,24.3,90.7,64.0,17.2,118.9
7,Acquisition and integration expenses(c),10.2,—,—,—,—
8,Gain on remeasurement of equity investment(d),-98.1,—,—,—,—
9,Other adjustments(e),3.7,-0.3,61.2,-3.3,-15.6
10,Aggregate adjustment for income taxes(f),-64.8,-103.0,-113.5,-71.6,-106.8
11,Non-GAAP net income(g),$503.5,$409.9,$314.3,$247.1,$198.8
