row_index,c0,c1,c2,c3,c4,c5
1,(in millions),2015,2014,2013,2015 vs. 2014,2014 vs. 2013
2,Revenues:,,,,,
3,Premiums,$168,$287,$188,-41%,53%
4,Policy fees,"1,072","1,010",861,6,17
5,Net investment income,"6,002","6,489","6,628",-8,-2
6,Advisory fee and other income,"2,056","1,998","1,754",3,14
7,Benefits and expenses:,,,,,
8,Policyholder benefits and losses incurred,511,537,364,-5,48
9,Interest credited to policyholder account balances,"2,823","2,846","2,935",-1,-3
10,Amortization of deferred policy acquisition costs,480,346,273,39,27
11,Non deferrable insurance commissions,282,265,249,6,6
12,Advisory fee expenses,"1,349","1,315","1,175",3,12
13,General operating expenses,"1,014",980,945,3,4
14,Pre-tax operating income,"$2,839","$3,495","$3,490",-19%,-%
