row_index,c0,c1,c2,c3
1,In billions of dollars,GAAP assets,Risk- weighted assets,-1
2,Impact of consolidation,,,
3,Credit cards,$86.3,$0.8,
4,Commercial paper conduits,28.3,13.0,
5,Student loans,13.6,3.7,
6,Private label consumer mortgages,4.4,1.3,
7,Municipal tender option bonds,0.6,0.1,
8,Collateralized loan obligations,0.5,0.5,
9,Mutual fund deferred sales commissions,0.5,0.5,
10,Subtotal,$134.2,$19.9,
11,Impact of deconsolidation,,,
12,Collateralized debt obligations-2,$1.9,$3.6,
13,Equity-linked notes-3,1.2,0.5,
14,Total,$137.3,$24.0,
