row_index,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
1,,Aaa,Aa,A,Baa,Below Investment Grade,Total,,,,,,
2,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,
3,,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair
4,,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value
5,,(In millions),,,,,,,,,,,
6,2003 & Prior,$217,$206,$130,$123,$15,$14,$13,$12,$4,$2,$379,$357
7,2004,186,169,412,383,11,9,—,—,1,—,610,561
8,2005,509,462,218,197,—,—,—,—,—,—,727,659
9,2006,244,223,64,43,—,—,—,—,—,—,308,266
10,2007,132,123,17,9,—,—,—,—,—,—,149,132
11,Total,"$1,288","$1,183",$841,$755,$26,$23,$13,$12,$5,$2,"$2,173","$1,975"
