row_index,c0,c1,c2,c3,c4,c5
1,Non-Utility Nuclear:,,,,,
2,Percent of capacity sold forward:,,,,,
3,Bundled capacity and energy contracts,13%,13%,13%,13%,13%
4,Capacity contracts,58%,67%,36%,22%,10%
5,Total,71%,80%,49%,35%,23%
6,Planned net MW in operation,"4,155","4,200","4,200","4,200","4,200"
7,Average capacity contract price per kW per month,$1.2,$1.1,$1.1,$1.0,$0.9
8,Blended Capacity and Energy (based on revenues),,,,,
9,% of planned generation and capacity sold forward,93%,87%,65%,36%,12%
10,Average contract revenue per MWh,$40,$42,$43,$44,$43
