row_index,c0,c1,c2,c3,c4,c5,c6
1,,Public,Private,Total,,,
2,,Carrying amount,Gross unrealized losses,Carrying amount,Gross unrealized losses,Carrying amount,Gross unrealized losses
3,,(in millions),,,,,
4,Three months or less,"$3,086.0",$194.4,"$1,188.1",$99.5,"$4,274.1",$293.9
5,Greater than three to six months,"4,213.7",467.9,"1,673.6",236.4,"5,887.3",704.3
6,Greater than six to nine months,"3,014.0",620.7,"1,566.6",290.6,"4,580.6",911.3
7,Greater than nine to twelve months,"2,321.0",743.0,"1,259.7",460.1,"3,580.7","1,203.1"
8,Greater than twelve to twenty-four months,"3,042.0","1,507.5","2,217.1","1,519.7","5,259.1","3,027.2"
9,Greater than twenty-four to thirty-six months,"1,045.2",296.1,312.5,217.1,"1,357.7",513.2
10,Greater than thirty-six months,"1,363.8",423.5,698.2,265.8,"2,062.0",689.3
11,"Total fixed maturity securities, available-for-sale","$18,085.7","$4,253.1","$8,915.8","$3,089.2","$27,001.5","$7,342.3"
